,Symbol,Description,Sector,MarketCap,Beta,PERatio,EPS,EVToRevenue,ROE,ProfitMargin,PriceToBook,AverageStockPrice
0,MMM,"The 3M Company is an American multinational conglomerate corporation operating in the fields of industry, worker safety, US health care, and consumer goods. The company produces over 60,000 products under several brands, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, window films, paint protection films, dental and orthodontic products, electrical and electronic connecting and insulating materials, medical products, car-care products, electronic circuits, healthcare software and optical films. It is based in Maplewood, a suburb of Saint Paul, Minnesota.",LIFE SCIENCES,102054000000.0,0.951,17.28,10.11,3.265,0.44799999999999995,0.168,7.06,173.62
1,ABT,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",LIFE SCIENCES,237605000000.0,0.686,34.02,4.03,5.82,0.21899999999999997,0.171,6.9,107.02
2,ABBV,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,LIFE SCIENCES,221816000000.0,0.788,30.87,4.196000000000001,5.26,0.523,0.13699999999999998,16.37,100.4
3,ABMD,"Abiomed is a publicly-traded medical devices company that develops and manufactures external and implantable circulatory support devices. The company is headquartered in Danvers, Massachusetts and has three additional offices, two in Germany in the cities of Berlin and Aachen, and another in Tokyo, Japan.",LIFE SCIENCES,13923597000.0,1.271,96.88,3.2569999999999997,13.63,0.11599999999999999,0.153,10.06,275.11
4,ACN,"Accenture plc is an Irish-domiciled multinational company that provides consulting and processing services. It has been incorporated in Dublin, Ireland since 2009.",TRADE & SERVICES,239670000000.0,1.132,43.28,9.15,4.651,0.319,0.11699999999999999,12.27,253.21
5,ATVI,"Activision Blizzard, Inc. is an American video game holding company based in Santa Monica, California. Activision Blizzard currently includes five business units: Activision Publishing, Blizzard Entertainment, King, Major League Gaming, and Activision Blizzard Studios.",TECHNOLOGY,45642871000.0,0.673,18.2,3.3710000000000004,4.367,0.16899999999999998,0.292,2.693,79.68
6,ADBE,"Adobe Inc. is an American multinational computer software company. Incorporated in Delaware and headquartered in San Jose, California, it has historically specialized in software for the creation and publication of a wide range of content, including graphics, photography, illustration, animation, multimedia, motion pictures and print. The company has expanded into digital marketing management software. Adobe has millions of users worldwide. Flagship products include: Photoshop image editing software, Adobe Illustrator vector-based illustration software, Adobe Acrobat Reader and the Portable Document Format (PDF), plus a host of tools primarily for audio-visual content creation, editing and publishing.",TECHNOLOGY,269346000000.0,1.061,46.02,12.1,16.97,0.447,0.387,18.69,478.03
7,AMD,"Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Santa Clara, California, that develops computer processors and related technologies for business and consumer markets. AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations, personal computers and embedded system applications.",MANUFACTURING,167314000000.0,1.931,42.49,3.242,11.06,0.721,0.267,23.45,79.1
8,AAP,"Advance Auto Parts, Inc. (Advance) is an American automotive aftermarket parts provider. Headquartered in Raleigh, North Carolina, it serves both professional installer and do-it-yourself (DIY) customers.",TRADE & SERVICES,14967737000.0,1.26,23.71,9.82,1.601,0.18600000000000003,0.059000000000000004,4.683,166.69
9,AES,"The AES Corporation is a Fortune 500 company that generates and distributes electrical power. AES is headquartered in Arlington, Virginia.",ENERGY & TRANSPORTATION,16281152000.0,0.811,31.04,0.7759999999999999,3.271,0.157,0.0495,6.68,21.07
10,AFL,Aflac Inc. (American Family Life Assurance Company) is an American insurance company and is the largest provider of supplemental insurance in the United States.,FINANCE,38262792000.0,0.989,9.22,6.17,1.78,0.128,0.188,1.14,46.06
11,A,"Agilent Technologies, Inc. is an American analytical instrumentation development and manufacturing company that offers its products and services to markets worldwide. Its global headquarters is located in Santa Clara, California.",LIFE SCIENCES,47303444000.0,0.998,38.43,3.94,7.67,0.23600000000000002,0.192,8.78,115.9
12,APD,"Air Products and Chemicals, Inc. is an American international corporation whose principal business is selling gases and chemicals for industrial uses. Air Products' headquarters is in Allentown, Pennsylvania.",LIFE SCIENCES,65408324000.0,0.805,31.62,9.44,6.57,0.154,0.203,4.831,268.22
13,AKAM,"Akamai Technologies, Inc. is a global content delivery network (CDN), cybersecurity, and cloud service company, providing web and Internet security services.",TRADE & SERVICES,18361855000.0,0.54,32.09,3.641,5.67,0.139,0.17800000000000002,4.007,105.27
14,ALK,"Alaska Air Group is an airline holding company based in SeaTac, Washington, United States.",ENERGY & TRANSPORTATION,6474802000.0,1.632,481.06,0.10400000000000001,1.454,0.0037,0.0026,1.834,51.33
15,ALB,"Albemarle Corporation is a fine chemical manufacturing company based in Charlotte, North Carolina.",LIFE SCIENCES,30749565000.0,1.59,123.19,1.8659999999999999,9.71,0.0571,0.064,5.4,134.79
