,Symbol,MarketCap,Beta,PERatio,EPS,EVToRevenue,ROE,ProfitMargin,PriceToBook,AverageStockPrice
0,ROL,15701274000,0.574,45.74,0.707,6.74,0.342,0.147,14.25,33.28
1,ROP,49938661000,1.064,44.25,10.54,9.23,0.105,0.179,4.403,412.75
2,ROST,39876794000,1.022,24.75,4.465,2.221,0.455,0.0878,10.01,108.32
3,RCL,19236633000,2.654,None,-21.58,64.05,-0.712,0,2.974,75.45
4,SPGI,114154470000,0.985,40.53,11.6,13.98,0.748,0.347,61.87,351.54
5,CRM,262039550000,1.095,139.42,1.818,10.67,0.0357,0.0696,4.593,220.37
6,SBAC,39044893000,0.284,140.07,2.606,23.54,0,0.131,-,297.94
7,SLB,43467584000,2.308,25.74,1.164,2.515,0.131,0.0744,3.253,25.19
8,STX,23134101000,1.056,15.08,6.79,2.376,1.335,0.141,38.49,66.53
9,SEE,9645002000,1.29,21.12,3.037,2.457,603.94,0.0876,75.53,44.2
10,SRE,40488797000,0.677,36.19,3.486,5.47,0.0478,0.0955,1.71,130.2
11,NOW,128753000000,1.019,572.58,1.091,23.13,0.071,0.0399,36.43,478.56
12,SHW,90840494000,1.067,46.62,7.3,5.15,0.571,0.1,33.77,236.71
13,SPG,50088133000,1.523,24.38,6.18,15.4,0.696,0.41,15.01,102.43
14,SWKS,26872121000,1.113,17.87,8.97,5.53,0.317,0.293,5.07,148.68
15,SNA,11682598000,1.225,14.53,14.65,2.663,0.214,0.176,2.886,180.36
16,SO,68972040000,0.481,23.55,2.801,5.42,0.0885,0.133,2.404,60.35
17,LUV,24842878000,1.122,None,-0.003,1.698,0.0001,0.0001,2.424,46.67
18,SWK,31719742000,1.383,17.32,11.05,2.13,0.168,0.106,3.002,169.72
19,SBUX,136947636000,0.811,32.4,3.54,5.3,0,0.144,-,96.32
20,STT,34189984000,1.607,13.57,6.79,-,0.0958,0.212,1.349,74.84
21,STE,22984286000,0.615,82.53,2.75,6.82,0.0488,0.065,3.517,181.47
22,SYK,98157837000,0.99,51.28,4.968,6.49,0.14,0.114,6.92,226.3
23,SIVB,41311229000,1.902,20.76,32.59,-,0.186,0.328,3.376,393.63
24,SYF,26197297000,1.678,6.62,7.07,-,0.319,0.449,1.984,34.87
25,SNPS,55460485000,1.126,71.92,4.81,12.97,0.148,0.18,10.47,227.59
26,SYY,37767393000,1.344,55.2,1.332,0.851,0.451,0.0122,22.57,70.1
27,TMUS,143353874000,0.522,44.1,2.66,3.061,0.0504,0.0421,2.095,116.2
28,TROW,44089471000,1.216,14.32,13.27,5.48,0.37,0.42,5.34,156.67
