,Symbol,MarketCap,Beta,PERatio,EPS,EVToRevenue,ROE,ProfitMargin,PriceToBook,AverageStockPrice
0,MMM,102054371000,0.951,17.3,10.11,3.265,0.448,0.168,7.06,173.6
1,ABT,237604720000,0.686,32.83,4.03,5.82,0.219,0.171,6.9,106.89
2,ABBV,221815962000,0.788,30.34,4.196,5.26,0.523,0.137,16.37,100.34
3,ABMD,13923597000,1.271,95.57,3.257,13.63,0.116,0.153,10.06,274.51
4,ACN,239669748000,1.132,40.39,9.15,4.651,0.319,0.117,12.27,252.92
5,ATVI,45642871000,0.673,17.61,3.371,4.367,0.169,0.292,2.693,79.55
6,ADBE,311387310000,1.061,50.67,12.1,20.53,0.447,0.387,21.6,477.08
7,AMD,167314429000,1.931,41.83,3.242,11.06,0.721,0.267,23.45,78.87
8,AAP,14967737000,1.26,23.96,9.82,1.601,0.186,0.059,4.683,166.63
9,AES,16281152000,0.811,30.43,0.776,3.271,0.157,0.0495,6.68,21.06
10,AFL,38262792000,0.989,9.27,6.17,1.78,0.128,0.188,1.14,46.11
11,A,47303444000,0.998,38.47,3.94,7.67,0.236,0.192,8.78,115.7
12,APD,65408324000,0.805,31.6,9.44,6.57,0.154,0.203,4.831,268.01
13,AKAM,18361855000,0.54,31.35,3.641,5.67,0.139,0.178,4.007,105.14
14,ALK,6474802000,1.632,490.01,0.104,1.454,0.0037,0.0026,1.834,51.44
15,ALB,30749565000,1.59,130.8,1.866,9.71,0.0571,0.064,5.4,134.38
16,ARE,32843144000,0.776,32.54,6.51,21.07,0.069,0.466,2.231,171.8
17,ALGN,52683312000,1.572,64.78,9.28,13.72,0.226,0.197,14.98,446.93
18,ALLE,11755540000,1.136,25.49,5.09,4.395,0.548,0.161,13.6,118.32
19,LNT,14743747000,0.384,23.5,2.534,6.21,0.105,0.178,2.463,53.79
20,ALL,30966746000,0.844,10.22,10.83,0.782,0.239,0.0662,1.251,110.97
21,GOOGL,1969041263000,1.068,27.45,103.81,7.75,0.309,0.295,8.03,1913.78
22,GOOG,1969041263000,1.068,27.93,103.81,7.75,0.309,0.295,8.07,1927.86
23,MO,82829826000,0.684,30.26,1.494,5.12,297.86,0.132,27.3,44.22
24,AMZN,1746738119000,1.126,65.67,51.1,3.89,0.258,0.0574,14.49,2959.76
25,AMCR,17784759000,0.426,19.23,0.607,1.835,0.202,0.0715,3.825,11.0
26,AEE,22473564000,0.336,22.85,3.837,5.75,0.107,0.166,2.321,79.48
27,AAL,11661737000,1.667,None,-5.18,1.788,0,-0.132,-,18.05
28,AEP,41691757000,0.345,17.83,4.762,4.774,0.111,0.146,1.871,85.67
29,AXP,129374049000,1.239,17.07,9.57,-,0.336,0.189,5.3,128.61
30,AIG,45159887000,1.379,8.57,6.38,1.56,0.0891,0.118,0.702,41.6
31,AMT,124132111000,0.345,49.65,5.51,18.04,0.345,0.275,22.94,248.51
