,Symbol,MarketCap,Beta,PERatio,EPS,EVToRevenue,ROE,ProfitMargin,PriceToBook,AverageStockPrice
0,FOXA,20329124000,1.129,12.16,2.958,1.767,0.157,0.132,1.835,32.74
1,FOX,20329124000,1.129,11.39,2.958,1.767,0.157,0.132,1.706,31.66
2,BEN,17086123000,1.218,9.45,3.57,2.377,0.173,0.217,1.522,25.71
3,FCX,56345329000,2.062,14.37,2.641,2.755,0.243,0.185,4.22,23.88
4,GPS,6329185000,1.737,12.48,1.323,0.703,0.196,0.0305,2.271,20.88
5,GRMN,26176954000,0.977,22.9,5.86,4.909,0.206,0.229,4.471,118.53
6,IT,26480139000,1.546,39.13,8.03,6.37,1.026,0.155,79.16,183.09
7,GNRC,21970452000,1.017,41.46,8.23,6.61,0.343,0.155,12.33,248.01
8,GD,57221135000,1.078,17.49,11.65,1.795,0.217,0.0856,3.64,167.27
9,GE,106464395000,1.043,None,-0.419,1.769,0.0488,-0.0005,2.841,83.41
10,GIS,39224643000,0.506,17.49,3.769,2.812,0.235,0.127,4.047,59.36
11,GM,91772089000,1.187,7.82,7.47,1.358,0.203,0.085,1.695,42.1
12,GPC,19202724000,1.078,23.52,5.61,1.173,0.261,0.0444,6.03,104.5
13,GILD,88120442000,0.35,12.07,5.84,4.005,0.379,0.269,4.104,68.02
14,GL,9282010000,1.11,12.43,7.38,2.205,0.0916,0.153,1.078,90.65
15,GPN,36500996000,1.104,40.49,3.167,5.51,0.0352,0.114,1.396,180.38
16,GS,130448905000,1.511,6.41,60.63,-,0.22,0.382,1.354,278.23
17,GWW,26464303000,1.244,29.02,17.5,2.262,0.444,0.0736,14.49,374.43
18,HAL,21420129000,2.769,50.29,0.447,2.041,0.076,0.0279,3.771,18.07
19,HBI,6128539000,1.512,None,-0.897,1.281,0.132,-0.0433,9.63,15.63
20,HIG,23195081000,1.071,11.39,6.01,1.301,0.122,0.0994,1.323,53.01
21,HAS,13907807000,1.023,30.63,3.278,2.778,0.154,0.0737,4.607,88.41
