,Symbol,MarketCap,Beta,PERatio,EPS,EVToRevenue,ROE,ProfitMargin,PriceToBook,AverageStockPrice
0,SCHW,152779382000,1.032,30.75,2.627,-,0.122,0.301,3.217,53.55
1,CHTR,109527124000,0.959,28.34,21.94,3.869,0.177,0.084,6.43,615.88
2,CVX,223380300000,1.273,22.48,5.16,1.928,7.4,0.0736,1.679,95.61
3,CMG,47575000000,1.262,126.51,24.91,7.08,34.52,0.0988,20.96,1305.73
4,CB,81939910000,0.813,18.48,19.65,2.466,15.24,0.218,1.39,149.85
5,CHD,23867940000,0.412,31.47,3.273,4.989,24.38,0.16,6.81,82.58
6,CI,71237086000,0.871,9.02,24.03,0.599,0.176,0.0492,1.502,206.7
7,CINF,18753589000,0.694,7.46,15.53,2.063,0.234,0.281,1.584,95.5
8,CTAS,47407225000,1.466,42.47,10.56,6.9,0.33,0.157,14.33,325.74
9,CSCO,249893188000,0.913,21.48,2.69,4.648,0.282,0.224,5.85,47.54
10,C,119413200000,1.822,8.99,10.39,-,11.99,0.306,0.659,61.85
11,CFG,20201860000,1.59,9.45,4.98,-,0.0978,0.326,0.944,36.08
12,CTXS,10166161000,-0.001,33.02,2.518,4.164,1.352,0.0997,25.43,125.67
13,CLX,21142220000,0.168,22.52,3.456,3.281,58.93,0.0604,56.27,188.85
14,CME,82086802000,0.462,33.36,6.78,18.09,0.0898,0.526,3.009,191.67
15,CMS,18114778000,0.224,21.04,3.017,4.241,0.129,0.12,3.088,61.09
16,KO,243096971000,0.686,28.46,2.031,7.14,0.397,0.233,10.96,51.82
17,CTSH,43123167000,1.127,23.1,3.545,2.366,0.166,0.105,3.735,69.16
18,CL,68388740000,0.591,25.74,3.13,4.251,428.46,0.154,113.34,76.92
19,CMCSA,221364322000,0.955,15.68,3.109,2.697,0.153,0.127,2.311,48.7
20,CMA,11086000000,1.51,25.0,8.15,-,15.15,0.342,1.496,58.01
21,CAG,15575530000,0.807,10.85,2.477,2.203,14.45,0.108,1.798,34.55
22,COP,93671610000,1.621,21.14,3.36,2.892,12.5,0.127,2.197,49.29
23,ED,29223183000,0.199,24.64,3.376,4.035,0.054,0.0881,1.458,77.03
24,STZ,43855573000,1.164,61.16,3.872,6.18,0.0678,0.0862,3.942,201.21
25,COO,19700928000,0.861,6.63,59.13,7.29,0.547,1.008,2.838,356.63
26,CPRT,35390890000,1.058,35.44,4.15,11.9,0.306,0.343,9.33,111.57
27,GLW,31516380000,1.09,28.57,0.939,2.739,7.28,0.121,2.643,34.03
28,CTVA,34958476000,0.785,21.03,2.202,2.246,0.0716,0.107,1.413,36.33
